file_name,paragraph_index,agreement_type,clause_type,clause_text
nda_01.txt,1,employment,confidentiality,"UNDERTAKING & NON-DISCLOSURE AGREEMENT (NDA) BY THE 
DEVELOPMENT AGENCY"
nda_01.txt,1,nda,confidentiality,"UNDERTAKING & NON-DISCLOSURE AGREEMENT (NDA) BY THE 
DEVELOPMENT AGENCY"
nda_01.txt,4,employment,obligations,"/Ms._________________________, _________________ (Designation) authorised 
representative of___________________________________________________(Company Name),  
a public limited company/ private limited company/ partnership firm/ limited 
liability partnership/ one person company/ sole proprietorship registered as per 
applicable Indian laws (tick as applicable), located at 
_______________________________________________________ (Company Address) do hereby 
undertake the following:-"
nda_01.txt,4,service,indemnity,"/Ms._________________________, _________________ (Designation) authorised 
representative of___________________________________________________(Company Name),  
a public limited company/ private limited company/ partnership firm/ limited 
liability partnership/ one person company/ sole proprietorship registered as per 
applicable Indian laws (tick as applicable), located at 
_______________________________________________________ (Company Address) do hereby 
undertake the following:-"
nda_01.txt,25,rental,rent_terms,Projects currently under execution
nda_01.txt,26,rental,rent_terms,Projects Currently applied for
nda_01.txt,28,employment,notice_period,"NON-DISCLOSURE AGREEMENT (NDA) 
For purposes of this Undertaking and any documents relating to or purportedly 
executed 
in 
connection 
with the 
TDF 
Scheme, the 
term 
“Confidential 
Information” shall be read to mean, with respect to either party, any and all 
information in written, representational, electronic, verbal or other form relating 
directly or indirectly to the present or potential business, operation or financial 
condition of or relating to the Parties, excluding any such information which (i) is 
known to the public (through no act or omission of the receiving party in 
violation of this Agreement); (ii) is lawfully acquired by the receiving party from 
an independent source having no obligation to maintain the confidentiality of 
such information; (iii) was known to the receiving party prior to its disclosure 
under this ; (iv) was or is independently developed by the receiving party 
without breach of this Agreement; or (v) is required to be disclosed by 
governmental or judicial order, in which case the party so required shall give the 
other party prompt written notice, where possible, and use reasonable efforts to 
ensure that such disclosure is accorded confidential treatment and also to enable 
such other party to seek a protective order or other appropriate remedy at such 
other party’s sole costs."
nda_01.txt,28,employment,obligations,"NON-DISCLOSURE AGREEMENT (NDA) 
For purposes of this Undertaking and any documents relating to or purportedly 
executed 
in 
connection 
with the 
TDF 
Scheme, the 
term 
“Confidential 
Information” shall be read to mean, with respect to either party, any and all 
information in written, representational, electronic, verbal or other form relating 
directly or indirectly to the present or potential business, operation or financial 
condition of or relating to the Parties, excluding any such information which (i) is 
known to the public (through no act or omission of the receiving party in 
violation of this Agreement); (ii) is lawfully acquired by the receiving party from 
an independent source having no obligation to maintain the confidentiality of 
such information; (iii) was known to the receiving party prior to its disclosure 
under this ; (iv) was or is independently developed by the receiving party 
without breach of this Agreement; or (v) is required to be disclosed by 
governmental or judicial order, in which case the party so required shall give the 
other party prompt written notice, where possible, and use reasonable efforts to 
ensure that such disclosure is accorded confidential treatment and also to enable 
such other party to seek a protective order or other appropriate remedy at such 
other party’s sole costs."
nda_01.txt,28,employment,confidentiality,"NON-DISCLOSURE AGREEMENT (NDA) 
For purposes of this Undertaking and any documents relating to or purportedly 
executed 
in 
connection 
with the 
TDF 
Scheme, the 
term 
“Confidential 
Information” shall be read to mean, with respect to either party, any and all 
information in written, representational, electronic, verbal or other form relating 
directly or indirectly to the present or potential business, operation or financial 
condition of or relating to the Parties, excluding any such information which (i) is 
known to the public (through no act or omission of the receiving party in 
violation of this Agreement); (ii) is lawfully acquired by the receiving party from 
an independent source having no obligation to maintain the confidentiality of 
such information; (iii) was known to the receiving party prior to its disclosure 
under this ; (iv) was or is independently developed by the receiving party 
without breach of this Agreement; or (v) is required to be disclosed by 
governmental or judicial order, in which case the party so required shall give the 
other party prompt written notice, where possible, and use reasonable efforts to 
ensure that such disclosure is accorded confidential treatment and also to enable 
such other party to seek a protective order or other appropriate remedy at such 
other party’s sole costs."
nda_01.txt,28,nda,confidentiality,"NON-DISCLOSURE AGREEMENT (NDA) 
For purposes of this Undertaking and any documents relating to or purportedly 
executed 
in 
connection 
with the 
TDF 
Scheme, the 
term 
“Confidential 
Information” shall be read to mean, with respect to either party, any and all 
information in written, representational, electronic, verbal or other form relating 
directly or indirectly to the present or potential business, operation or financial 
condition of or relating to the Parties, excluding any such information which (i) is 
known to the public (through no act or omission of the receiving party in 
violation of this Agreement); (ii) is lawfully acquired by the receiving party from 
an independent source having no obligation to maintain the confidentiality of 
such information; (iii) was known to the receiving party prior to its disclosure 
under this ; (iv) was or is independently developed by the receiving party 
without breach of this Agreement; or (v) is required to be disclosed by 
governmental or judicial order, in which case the party so required shall give the 
other party prompt written notice, where possible, and use reasonable efforts to 
ensure that such disclosure is accorded confidential treatment and also to enable 
such other party to seek a protective order or other appropriate remedy at such 
other party’s sole costs."
