clause_text,count
"Non-Compete Obligations: (a) The Company agrees that, during the term of the manufacturing contract and for a period of Ten years after the termination or completion of the contract, The Company shall not engage, directly or indirectly, either individually or as a partner, officer, director, employee, consultant, or otherwise, in any business or enterprise that competes with the products or services provided by OFDC within the territory of India.",16
Non Disclosure provisions shall not apply if the information: i) Is available in public domain; ii) Was shared or disclosed with the written consent of Disclosing party; iii) Became available to the Receiving party; iv) Was developed and Proved independently by the Receiving Party; v) Was not classified or confirmed as Confidential Information and its disclosure to any unauthorized third party will not prejudice the interest of Disclosing Party.,16
"Upon the termination of the Vendor's contract or at any time upon the Entity's request, the Vendor shall promptly return to the Entity all documents, records, electronic files, and any other materials containing or related to the Confidential Information.",12
"While Vendor is contracted by the Company and for (in words) (in no.) years following the termination of Vendor’s Contract with the Entity, the Vendor shall not:  request, induce or attempt to influence any supplier of goods or services to the Entity to curtail or cancel any business they may transact with the Entity;  request, induce or attempt to influence any customers of the Entity that have done business with or potential customers which have been in contact with the Entity to curtail or cancel any business they may transact with the Entity.",12
This non-disclosure obligation shall remain in effect during the Vendor's contract and continue after termination of the same.,12
Any disputes arising out of or in connection with this Agreement shall be subject to the exclusive jurisdiction of the courts of ( ) courts.,12
"This obligation shall include court, litigation expenses, and actual, reasonable attorney’s fees.",9
"The arbitration shall be governed by the Indian Arbitration and Conciliation (Amendment) Act, 2015.",8
The arbitration proceedings shall be final and binding on the parties of this Agreement.,8
The Vendor shall also permanently delete any electronic copies or other reproductions of Confidential Information from their personal devices and systems.,8
The Vendor agrees not to disclose or use any Confidential Information for any purpose other than as required to perform their obligations mandated by the Entity.,8
The Vendor acknowledges that the obligations of confidentiality and non-use set forth in this,8
The Vendor shall not use the Confidential Information for personal gain or to the detriment of the Entity.,8
"The Vendor shall take all reasonable precautions and implement appropriate safeguards to prevent unauthorised access, use, or disclosure of Confidential Information.",8
"The Vendor shall not use any Confidential Information for personal gain, competitive advantage, or to the detriment of the Entity.",8
The Vendor acknowledges that all Confidential Information provided by the Entity is the exclusive property of the Entity and shall be used solely for the benefit of the Entity during the term of contract and thereafter.,8
This non- Circumvention provision shall expire at the end of ( In words ) ( In no.- ) years from the termination of this Agreement.,8
Place of Arbitration shall be Kolkata.,8
"WHEREAS, the Entity which is engaged in the business of providing high quality defence hardware and equipments and possesses valuable and proprietary information, including trade secrets, client data, technical specifications, product designs, business strategies, and other confidential information; WHEREAS, the Vendor will be contracted by the Entity and will have access to and be entrusted with such confidential information in the course of their contract; WHEREAS, the Entity seeks to protect its confidential information and trade secrets from unauthorised use, disclosure, or competitive advantage by third parties; NOW, THEREFORE, in consideration of the mutual covenants and promises contained herein, the sufficiency of which is hereby acknowledged, the parties agree as follows: 2.",8
This Agreement shall survive and remain in effect and expressly terminated in writing and signed by all Parties or until (in words) (in no.) years from the date of termination of contract between the Entity and the Vendor.,8
"Any breach of confidentiality in violation of provisions of this Agreement shall be punishable under relevant clauses of Official Secrets Act, 1923.",8
Agreement shall survive the termination of their contract term with the Entity.,8
"Arbitration Clause Any disputes or differences arising from or pertaining to this Agreement, which may not be settled by the parties through negotiations within 30 (thirty) days, shall be subject to settlement through arbitration.",8
"Non-Solicitation: The Company agrees not to solicit, directly or indirectly, the services of any employee or contractor of OFDC during the term of the manufacturing contract and for a period of 10 years after the termination or completion of the contract.",8
"The seat of arbitration shall be Kolkata or as decided by YIL HQ Nagpur, and the language of the arbitration shall be English.",8
