file_name,paragraph_index,agreement_type,clause_type,clause_text
emp_001.txt,4,service,scope_of_work,"Your responsibilities will be those outlined in the enclosed job description and described to you during your discussions
with [Name of Interviewers]."
emp_001.txt,8,service,warranties,"Completion of the Introductory Period does not guarantee continued employment for any specified
period of time, and employment at all times remains at-will."
emp_001.txt,13,employment,termination,"As indicated on the job application you completed, YOUR EMPLOYMENT AND COMPENSATION WITH ABC
COMPANY ARE ""AT-WILL,"" MEANING THAT EITHER THE EMPLOYER OR THE EMPLOYEE CAN
TERMINATE THE EMPLOYMENT RELATIONSHIP AT ANY TIME, FOR ANY OR NO REASON, WITH OR
WITHOUT CAUSE AND WITH OR WITHOUT ADVANCE NOTICE."
emp_001.txt,13,employment,notice_period,"As indicated on the job application you completed, YOUR EMPLOYMENT AND COMPENSATION WITH ABC
COMPANY ARE ""AT-WILL,"" MEANING THAT EITHER THE EMPLOYER OR THE EMPLOYEE CAN
TERMINATE THE EMPLOYMENT RELATIONSHIP AT ANY TIME, FOR ANY OR NO REASON, WITH OR
WITHOUT CAUSE AND WITH OR WITHOUT ADVANCE NOTICE."
emp_001.txt,13,service,payment_terms,"As indicated on the job application you completed, YOUR EMPLOYMENT AND COMPENSATION WITH ABC
COMPANY ARE ""AT-WILL,"" MEANING THAT EITHER THE EMPLOYER OR THE EMPLOYEE CAN
TERMINATE THE EMPLOYMENT RELATIONSHIP AT ANY TIME, FOR ANY OR NO REASON, WITH OR
WITHOUT CAUSE AND WITH OR WITHOUT ADVANCE NOTICE."
emp_001.txt,27,service,force_majeure,"We
are confident your employment with ABC Company will prove mutually beneficial, and we look forward to having you join us."
emp_001.txt,34,employment,termination,"As indicated on the job application you completed, YOUR EMPLOYMENT AND
COMPENSATION WITH THE COMPANY ARE “AT-WILL,” MEANING THAT EITHER THE
EMPLOYER OR THE EMPLOYEE CAN TERMINATE THE EMPLOYMENT RELATIONSHIP
AT ANY TIME, FOR ANY OR NO REASON, WITH OR WITHOUT CAUSE AND WITH OR
WITHOUT ADVANCE NOTICE."
emp_001.txt,34,employment,notice_period,"As indicated on the job application you completed, YOUR EMPLOYMENT AND
COMPENSATION WITH THE COMPANY ARE “AT-WILL,” MEANING THAT EITHER THE
EMPLOYER OR THE EMPLOYEE CAN TERMINATE THE EMPLOYMENT RELATIONSHIP
AT ANY TIME, FOR ANY OR NO REASON, WITH OR WITHOUT CAUSE AND WITH OR
WITHOUT ADVANCE NOTICE."
emp_001.txt,34,service,payment_terms,"As indicated on the job application you completed, YOUR EMPLOYMENT AND
COMPENSATION WITH THE COMPANY ARE “AT-WILL,” MEANING THAT EITHER THE
EMPLOYER OR THE EMPLOYEE CAN TERMINATE THE EMPLOYMENT RELATIONSHIP
AT ANY TIME, FOR ANY OR NO REASON, WITH OR WITHOUT CAUSE AND WITH OR
WITHOUT ADVANCE NOTICE."
emp_001.txt,37,service,force_majeure,"Please be aware that this offer is contingent upon your completion of a pre-employment physical
examinations scheduled for {time, date} at {place}."
emp_001.txt,39,service,force_majeure,We look forward to your joining us and expect that the relationship will be mutually successful.
emp_001.txt,40,service,force_majeure,"I
look forward to seeing you at {time} on {date}."
emp_001.txt,43,service,force_majeure,We look forward to your addition to our team.
emp_001.txt,47,rental,rent_terms,"I have attached (a current job description/a description of the
essential job functions) for your reference."
emp_002.txt,2,service,force_majeure,"Dear Prafull Singh,
We are pleased to offer you the position of Software Engineer at Tekion India Private Limited (the “Company”)."
emp_002.txt,6,employment,obligations,The Company shall withhold the appropriate amount of Indian income taxes from the salary paid to you.
emp_002.txt,7,employment,obligations,"You shall be
responsible for filing your personal returns and comply with other requirements under Indian tax law."
emp_002.txt,9,employment,leave_policy,"The full Joining bonus amount (as stated above) is recoverable if you voluntarily leave the
Company within Twelve months of joining."
emp_002.txt,11,employment,leave_policy,"The full relocation bonus amount (as stated above) is recoverable if you voluntarily leave the
Company within Twelve months of joining."
emp_002.txt,12,rental,rent_terms,"Stock Options
We will recommend to the Board of Directors of our parent company, Tekion Corp."
emp_002.txt,14,employment,obligations,"These shares shall vest as follows:
(a) 4,000 of the shares you will be given the opportunity to purchase will vest at the rate of twenty-five percent (25%) of
the shares at the end of your anniversary with the Company for the first year and from there after it will be monthly
vesting, so long as you remain employed by the Company."
emp_002.txt,15,employment,obligations,"Please note that the grant of such options is subject to approval by the Board of Directors of Tekion and this promise to
recommend such approval is not a promise of compensation and is not intended to create any obligation on the part of
the Company."
emp_002.txt,15,service,payment_terms,"Please note that the grant of such options is subject to approval by the Board of Directors of Tekion and this promise to
recommend such approval is not a promise of compensation and is not intended to create any obligation on the part of
the Company."
emp_002.txt,17,service,force_majeure,"Appointment
You have been made an offer as Software Engineer"
emp_002.txt,18,employment,obligations,(a) The place of employment shall be Bangalore and the normal office timings will be from 9:30AM to 6:30 PM.
emp_002.txt,19,employment,obligations,"However,
Tekion India Private Limited | #680, Fortuna-1, 8th Main, 15th Cross, JP Nagar 2nd Phase, Bangalore -560078, India
www.tekion.com | www.linkedin.com/company/tekion/ | @tekioncorp | CIN: U72500KA2016FTC093023
depending on the time constraints within which the Company may have to provide services to its clients, you will
undertake to make yourself available in respect of the business of the Company during such times."
emp_002.txt,19,service,scope_of_work,"However,
Tekion India Private Limited | #680, Fortuna-1, 8th Main, 15th Cross, JP Nagar 2nd Phase, Bangalore -560078, India
www.tekion.com | www.linkedin.com/company/tekion/ | @tekioncorp | CIN: U72500KA2016FTC093023
depending on the time constraints within which the Company may have to provide services to its clients, you will
undertake to make yourself available in respect of the business of the Company during such times."
emp_002.txt,22,employment,obligations,"Policies, Procedures, Rules & Regulations
You shall, in addition to the terms and conditions of employment specifically stated herein, also be governed by the rules,
regulations and such other practices, systems, procedures and policies framed, amended, modified or omitted by the
Company from time to time."
