clause_text,count
"During the period of probation, your services shall be terminable by giving one month’s notice or one month’s basic pay in lieu thereof on either side at the sole discretion of the Company management.",8
"However, on confirmation the services can be terminated from either side by giving one month (30 days) notice or salary in lieu thereof.",8
"Termination of employment During the probationary period and any extension thereof, your services may be terminated without giving any notice or salary in lieu thereof.",8
During the probationary period your employment can be terminated by the Company as per applicable law.,6
"Assignment of Intellectual Property In connection with your enrolment and during the term of your enrolment, upon conception or creation, you shall disclose and assign to Wipro as its exclusive property, all inventions, ideas, concepts, discoveries, techniques, and improvements (including without limitation legal documents, training materials, computer software and associated materials) developed or conceived by you solely or jointly with others (whether or not during business hours), and shall comply with the Policies of Wipro in relation to Intellectual Property.",6
Any false information provided by you or at your request may result in the Company’s withdrawal of this offer or immediate termination of your employment with no payment in lieu of notice or any other compensation to you.,6
"In connection with your association with Wipro as part of the WILP and during the term of your association upon conception or creation, you shall disclose and assign to Wipro as its exclusive property, all inventions, ideas, concepts, discoveries, techniques, and improvements (including without limitation legal documents, training materials, computer software and associated materials) developed or conceived by you solely or jointly with others (whether or not during business or academic session hours), and shall comply with the Policies of Wipro in relation to Intellectual Property.",6
"As part of your compensation package, we’re also offering: • [List your core benefits like bonus structure, health insurance, 401k] • [Benefit 2] • [Benefit 3] As a [Job Title], your key responsibilities will be as follows: • [Job Responsibility 1] • [Job Responsibility 2] • [Job Responsibility 3] You will report to [Manager Name], and your work schedule will be [Work Schedule, including any hybrid or remote work scheduling].",6
The Company reserves the right to terminate your employment immediately without notice or payment in lieu of notice if you are found guilty of misconduct or negligence or have committed any breach of the terms and conditions of this offer.,6
"Please note that your employment with [Company Name] is contingent upon your compliance with all applicable laws, regulations, and company policies, including but not limited to our Code of Conduct and Confidentiality Agreement.",6
"Terms of Termination of Employment Following the successful completion of your probationary period, either party can terminate this employment by serving a notice of one month on the other.",6
"Please note, a probation period does not affect any entitlements employees receive under the National Employment Standards or a modern award, such as annual leave, personal leave, and notice of termination.",5
" If at any time during the course of your employment, it is found that you have committed any act of gross misconduct or serious breach of employment terms, been guilty of conduct tending to bring yourself or the Company into disrepute, been absent for a continuous period of 10 days without approval/information, indulged in policy violation/fraud/financial irregularities and/or been found to demonstrate unsatisfactory job performance your services will be terminated and you shall not be entitled to any notice period or payment in lieu thereof.",5
"Notice Period:  During the probation (including any extension), services may be terminated by either party, giving written notice to one week or payment salary in Lieu of thereof.",5
Upon confirmation your services are liable to be terminated by the company after providing you one month notice or payment of basic salary in lieu thereof.,5
"ii After the probationary period, your employment may be terminated by the Company providing you with one month’s written notice of termination, or notice required by law as then in DocuSign Envelope ID: 7EB94388-BEB0-4811-84F8-14A212A371F0 GOC Confidential • 6 effect, whichever is greater, or payment of one month's base salary in lieu of notice.",5
" Post confirmation, services may be terminated by either party, giving two months’ notice, which comprises a non-negotiable mandatory working period of 1 month, with the remainder of the notice period being negotiable on both sides (to agree the release date & salary payment in lieu of notice if any).",5
"Details Here are some additional details about the Employee Data the Company may collect and how we may use it: ● Employee Data will be collected and used for employment-related or legal purposes, such as (1) recruitment and staffing, including pre-employment onboarding; (2) compensation, benefit programs and payroll; (3) performance assessment, management and training; (4) talent management and succession planning; (5) employee surveys (6) legal compliance and risk management; (7) workplace management, including businessrelated travel; (8) to protect the Company, its users, customers, workforce, equipment and facilities and the public against injury, theft, legal liability, fraud, or abuse; (9) to identify, report on and investigate violations of the Company’s policies and/or applicable laws and regulations, (10) to administer background checks in countries where permitted; (11) for business management and planning, including business reorganizations and job eliminations, business transfers and potential divestments; (12) making decisions about your employment; (13) monitoring of product and tool usage, including to identify training needs, solicit feedback and using data to drive the adoption of new versions of products and tools; (14) administration of statutory and Company benefits, including payment for leave; (15) assessment of fitness for work, conduct of medical and drug testing; (16) insurance related purposes; (17) compliance with health and safety obligations, including the management of workplace accidents; (18) diversity and inclusion programs; (19) internal testing of the Company’s or a trusted partner’s products and services (eg Dogfooding) and (20) for other reasonable business-related or legal purposes.",5
"2 You may terminate your employment with the Company, without any cause, by giving no less than [Employee NoCce] months’ prior noCce or salary for unsaved period, leZ aZer adjustment of pending leaves, as on date.",4
"You shall ensure that you shall not, directly or indirectly, engage in any activity or have any interest in, or perform any services for any person who is involved in activities, which are or shall be in conflict with the interests of Wipro.",4
"During the period of probation, your employment may be terminated by the Company without notice or with notice required by law as then in effect, whichever is greater, or payment of base salary in lieu of notice.",4
"b In this Agreement, “Confidential Information” includes: 12.b.i information that relates to the actual or anticipated business or research and development of the Company or its Related Corporations, technical data, trade secrets or know-how, including, but not limited to, research, product plans, or other information regarding Google’s products or services and their marketing, the identity of Google’s customers (including, but not limited to, customer lists and the identity of Google customers on whom you called or with whom you became acquainted during the term of your employment), software, developments, DocuSign Envelope ID: 7EB94388-BEB0-4811-84F8-14A212A371F0 GOC Confidential • 8 inventions, processes, formulas, technology, designs, drawings, engineering, hardware configuration information, marketing, finances, HR data or other business information; 12.b.ii information received from third parties associated with Google, e.g., our customers, suppliers, licensors, licensees, partners, or collaborators, including information relating to their business, practices or technology; and 12.b.iii information directly or indirectly collected from users of Google services, such as individual or aggregate log files related to any user session, personal information associated with a specific individual (such as a name, address, telephone number, e-mail address), or information about activities that can be directly linked to a user (such as an IP address or cookie information).",4
All disputes shall be subject to the jurisdicCon of [High Court] [State] only.,4
"Absence without Notice Un-approved Leave Absence without leave or remaining absent beyond the period of leave originally granted or subsequently extended, shall result in voluntary termination of your employment without any notice unless you.",4
"3 The Company reserves the right to terminate your employment summarily without any noCce period or terminaCon payment, if it has reasonable ground to believe you are guilty of misconduct or negligence, or have commi^ed any fundamental breach of contract or caused any loss to the Company.",4
"d Your employment may be terminated by the Company in the following manner: 8.d.i During the probationary period, your employment may be terminated by the Company without notice or with notice required by law as then in effect, whichever is greater, or by payment of base salary in lieu of notice.",4
3 The Company shall noCfy a list of declared holidays in the beginning of each year.,4
Please note that the grant of such options is subject to approval by the Board of Directors of Tekion and this promise to recommend such approval is not a promise of compensation and is not intended to create any obligation on the part of the Company.,4
