file_name,paragraph_index,agreement_type,clause_type,clause_text
rental_commercial_001.txt,3,employment,obligations,"[.], aged [.] residing at [.], (herein after referred to as the
“LESSOR”), which terms or expression shall unless repugnant to the subject or
context mean and include his legal heirs, executors, successors, administrators, legal
representatives and assigns of the FIRST PART;
AND
Mr."
rental_commercial_001.txt,5,employment,obligations,"[.], aged [.] residing at [.], (hereinafter referred to as the
“LESSEE”), which terms or expression shall unless repugnant to the subject or
context mean and include his legal heirs, executors, successors, administrators, legal
representatives and assigns of the SECOND PART."
rental_commercial_001.txt,12,employment,obligations,"The Term of Lease shall be for a fixed period of 11 Months which shall
commence from the effective date."
rental_commercial_001.txt,17,rental,security_deposit,The security deposit for the demised premises is fixed as Rs.
rental_commercial_001.txt,18,employment,termination,"[.](Rupees [.]
only) which is repayable at the termination of this agreement, without
interest."
rental_commercial_001.txt,18,rental,termination,"[.](Rupees [.]
only) which is repayable at the termination of this agreement, without
interest."
rental_commercial_001.txt,20,employment,obligations,"The Lease amount shall be calculated from the [.]of every month to [.] of
the subsequent month."
rental_commercial_001.txt,20,rental,rent_terms,"The Lease amount shall be calculated from the [.]of every month to [.] of
the subsequent month."
rental_commercial_001.txt,22,employment,obligations,"This Lease agreement shall be according to English calendar month, and the
Tenant shall pay the above said Lease amount for every month in advance on
or before the [.] of every month through CASH/CHEQUE/ECS/BANK TRANSFER to
the Owner."
rental_commercial_001.txt,22,rental,rent_terms,"This Lease agreement shall be according to English calendar month, and the
Tenant shall pay the above said Lease amount for every month in advance on
or before the [.] of every month through CASH/CHEQUE/ECS/BANK TRANSFER to
the Owner."
rental_commercial_001.txt,25,employment,termination,"And
the Lessee hereby declares that the premises in question shall only be used for the
purposes of business of the company and agrees that any other use of the property
not authorized in advance in writing by the Lessor shall entitle the Lessor to
unilaterally terminate this Agreement."
rental_commercial_001.txt,25,employment,obligations,"And
the Lessee hereby declares that the premises in question shall only be used for the
purposes of business of the company and agrees that any other use of the property
not authorized in advance in writing by the Lessor shall entitle the Lessor to
unilaterally terminate this Agreement."
rental_commercial_001.txt,27,rental,rent_terms,"LATE CHARGES AND FAILED CHEQUES
If Lease amount is paid after the fifth day of the month, then the Lease amount will
be paid along with late charges of [.] per each month."
rental_commercial_001.txt,27,service,payment_terms,"LATE CHARGES AND FAILED CHEQUES
If Lease amount is paid after the fifth day of the month, then the Lease amount will
be paid along with late charges of [.] per each month."
rental_commercial_001.txt,28,service,payment_terms,"If any cheque given by Lessee
remains unclear due to any reason, then the Lessee will pay return cheque charges of
Rs."
rental_commercial_001.txt,31,employment,obligations,"SECURITY DEPOSITS
Upon the execution of this Agreement, the Lessee shall pay the Lessor a security
deposit of Rs."
rental_commercial_001.txt,31,rental,security_deposit,"SECURITY DEPOSITS
Upon the execution of this Agreement, the Lessee shall pay the Lessor a security
deposit of Rs."
rental_commercial_001.txt,32,employment,obligations,"[.]/- (Rupees [.] only) to be held as security for the payment of Lease
amount and the due compliance by the Lessee of all of its obligations in this
Agreement."
rental_commercial_001.txt,32,service,payment_terms,"[.]/- (Rupees [.] only) to be held as security for the payment of Lease
amount and the due compliance by the Lessee of all of its obligations in this
Agreement."
rental_commercial_001.txt,33,employment,obligations,"The total of the security deposits with observance to the terms and
conditions of this agreement shall be refunded to the Lessee within 10 days after the
premises have been completely vacated."
rental_commercial_001.txt,33,rental,security_deposit,"The total of the security deposits with observance to the terms and
conditions of this agreement shall be refunded to the Lessee within 10 days after the
premises have been completely vacated."
rental_commercial_001.txt,33,rental,termination,"The total of the security deposits with observance to the terms and
conditions of this agreement shall be refunded to the Lessee within 10 days after the
premises have been completely vacated."
rental_commercial_001.txt,34,rental,security_deposit,"2
Lessor may deduct any amount necessary from the security deposit, and ask for
further payment from the Lessee of any amount necessary if such amount exceeds
the value of the security deposit, to cover the Lessee’s default in any/some/all of the
following:
a."
rental_commercial_001.txt,34,service,payment_terms,"2
Lessor may deduct any amount necessary from the security deposit, and ask for
further payment from the Lessee of any amount necessary if such amount exceeds
the value of the security deposit, to cover the Lessee’s default in any/some/all of the
following:
a."
rental_commercial_001.txt,35,rental,rent_terms,"any unpaid Lease amount,
b."
rental_commercial_001.txt,38,rental,maintenance,"cost for repair of damages to premises and/or common areas exclusive of expected
ordinary wear and tear, and
e."
rental_commercial_001.txt,40,employment,obligations,"A written accounting of said charges shall be presented to Lessee within 10 days of
move-out."
rental_commercial_001.txt,40,service,payment_terms,"A written accounting of said charges shall be presented to Lessee within 10 days of
move-out."
rental_commercial_001.txt,41,employment,obligations,"If the costs are over and above the deposits the Lessee shall immediately
pay said additional costs for damages to the Lessor."
rental_commercial_001.txt,45,rental,rent_terms,"The Lessee do not have to pay any Lease amount until actual
possession of the premises."
rental_commercial_001.txt,46,employment,termination,"If
Lessor
is
unable
to
deliver
possession
within
5
days
after
the
agreed
commencement date, the Lessee may terminate this Agreement by giving written
notice to Lessor."
rental_commercial_001.txt,46,employment,notice_period,"If
Lessor
is
unable
to
deliver
possession
within
5
days
after
the
agreed
commencement date, the Lessee may terminate this Agreement by giving written
notice to Lessor."
rental_commercial_001.txt,47,rental,security_deposit,The Lessor must refund all money and security deposits paid.
rental_commercial_001.txt,48,employment,obligations,"The
failure of Lessee to take possession of the premises on the said date shall not relieve
them of their obligation to pay Lease amount on the agreed date."
rental_commercial_001.txt,48,rental,rent_terms,"The
failure of Lessee to take possession of the premises on the said date shall not relieve
them of their obligation to pay Lease amount on the agreed date."
rental_commercial_001.txt,50,employment,obligations,"INSPECTION OF THE PREMISES
Before the delivery of residency by the Lessee, the Lessor and the Lessee shall inspect
the premises and shall record any existing damages to the premises on a check list."
rental_commercial_001.txt,52,employment,obligations,"Both parties shall receive copies of the Document which should be
duly signed by both the parties."
rental_commercial_001.txt,53,employment,termination,"At the termination of the agreement and before possession is restored to the Lessor,
the Lessor shall inform the Lessee of his right to be present at the final inspection."
rental_commercial_001.txt,53,employment,obligations,"At the termination of the agreement and before possession is restored to the Lessor,
the Lessor shall inform the Lessee of his right to be present at the final inspection."
rental_commercial_001.txt,53,rental,termination,"At the termination of the agreement and before possession is restored to the Lessor,
the Lessor shall inform the Lessee of his right to be present at the final inspection."
rental_commercial_001.txt,54,employment,termination,"3
The Lessor shall notify the Lessor of the time and date of the inspection, which must
be within seventy-two hours of the termination of occupancy."
rental_commercial_001.txt,54,employment,obligations,"3
The Lessor shall notify the Lessor of the time and date of the inspection, which must
be within seventy-two hours of the termination of occupancy."
rental_commercial_001.txt,54,rental,property_usage,"3
The Lessor shall notify the Lessor of the time and date of the inspection, which must
be within seventy-two hours of the termination of occupancy."
rental_commercial_001.txt,54,rental,termination,"3
The Lessor shall notify the Lessor of the time and date of the inspection, which must
be within seventy-two hours of the termination of occupancy."
rental_commercial_001.txt,56,employment,obligations,"DUTIES AND OBLIGATIONS
A."
rental_commercial_001.txt,57,employment,obligations,"The Lessee hereby undertakes to not to sublet, assign or transfer the said
Leased premises whole or any part thereof to any other person or concern in any
manner whatsoever, without obtaining written consent from the landlord."
rental_commercial_001.txt,57,rental,property_usage,"The Lessee hereby undertakes to not to sublet, assign or transfer the said
Leased premises whole or any part thereof to any other person or concern in any
manner whatsoever, without obtaining written consent from the landlord."
rental_commercial_001.txt,59,employment,obligations,"The accommodation under the lease shall be used as the registered office of
the Company."
rental_commercial_001.txt,61,employment,obligations,"The Lessee shall not make any material addition or alteration to the
accommodation under the lease as let out without the previous consent of the
owner in writing."
rental_commercial_001.txt,63,employment,obligations,"The Lessee shall not to do or cause to be done anything in or upon the
demised Premises which is or may grow to be a source or nuisance or annoyance to
the Lessor."
rental_commercial_001.txt,65,service,payment_terms,"The Lessee agrees to indemnify and hold harmless the Lessor for all its
business activities including but not limited to statutory dues, municipal taxes and
other charges."
rental_commercial_001.txt,65,service,indemnity,"The Lessee agrees to indemnify and hold harmless the Lessor for all its
business activities including but not limited to statutory dues, municipal taxes and
other charges."
rental_commercial_001.txt,67,employment,obligations,"The lessee shall not bring or cause to be brought into or store at the
Demised Premises or any part thereof any hazardous goods articles of combustible
or inflammable mature, except in small quantities for normal uses as permitted by
law nor carry out any activity which is illegal in nature and not permissible by law."
rental_commercial_001.txt,69,employment,obligations,"The Lessee shall keep the premises let out to them in good condition and
shall carry out all minor repairs at his own cost and expenses."
rental_commercial_001.txt,69,rental,maintenance,"The Lessee shall keep the premises let out to them in good condition and
shall carry out all minor repairs at his own cost and expenses."
rental_commercial_001.txt,71,employment,obligations,"The Lessee however, shall have the right to locate such fixtures and or
fittings and wooden temporary partition or structure as shall be required to
execute partitions, chambers, office rooms, etc."
