clause_text,count
The total of the security deposits with observance to the terms and conditions of this agreement shall be refunded to the Lessee within 10 days after the premises have been completely vacated.,6
The Courts in [.] shall have sole jurisdiction to entertain disputes arising from / out of / as a result of this Agreement.,6
"Further, the amount of Security Money, Ground Rent, Services Charges, Special Maintenance Charges and Interest on unpaid ground Rent, services charges and Special maintenance Charges shall be deducted while refunding the amount.",5
"(viii) In case the Allottee fails to pay the Yearly/Quarterly Maintenance/ Service Charges, Land Revenue, Cess and / or other impositions and / or other charges and / or interest due thereon payable in terms of these presents and / or otherwise payable or any part thereof within the fixed and stipulated time for the payment thereof, whether legally demanded or not, or if any covenant on the Allottee’s part herein contained shall not be performed and observed or if the Allottee shall become bankrupt or if winding up order is made against the Allottee or a Receiver is appointed over its assets, it shall be lawful for the Corporation after giving thirty days’ notice in writing to the Allottee to be sent by registered post with acknowledgement due at the latest address of the Allottee as per available record to re-enter upon the said Premises or any part thereof in the name of the whole and thereupon this Agreement shall stand terminated, without prejudice to any other rights of the Corporation.",5
"It is hereby agreed that if default is made by the lessee in payment of the rent for a period of three months, or in observance and performance of any of the covenants and stipulations hereby contained and on the part to be observed and performed by the lessee, then on such default, the lessor shall be entitled in addition to or in the alternative to any other remedy that may be available to him at this discretion, to terminate the lease and eject the lessee from the said premises; and to take possession thereof as full and absolute owner thereof, provided that a notice in writing shall be given by the lessor to the lessee of his intention to terminate the lease and to take possession of the said premises.",5
"(vii) In case the Allottee fails or neglects to pay/reimburse rent, the yearly Maintenance/Service Charges, and/or interest due thereon the yearly rent/land revenue, cess hereby reserved or any part thereof and allow the same to fall in arrear, the Corporation shall, in addition to its rights and authorities to terminate the grant under these presents as also under the law, be at 8 liberty to realize the same as arrear of land revenue/public demand under the provisions of WBIIDC Act, 1974 and/or Bengal Public Demand Recovery Act, 1913; without prejudice to any other rights of the Corporation.",5
"24” May, 2008; ""Board"" means the Board of Directors of BIAL; “CA Excluded Area” means that portion of the Additional Land containing those Noa-Aisport Actvides not being taken over by Gol pursuant to Articles 72 of 1352 of the Concession Agreemes “CNS/ATM Agreement” means the agreement catered into on Apail 06, 2005 berween BIAL and the AAT in respect of the provision by the AAT to BIAL of communication, savigstion and surveillance ai raffle management services; “Consequential Loss” means in relation to a breach of this Lease Deed aay indirect or consequential loss Gncluding lots of production, loss of profit lot of revenue, los of contract, loss of goodwill, ability under other agreements other than Environmental Liabilsy oF Ubi to tied parties other than Environmental Liability) resulting from such breach and whether or not the pay commiting the breach knew, or ought to have know, that such indirect oe consequential loss would be likely to be suered asa result of such breach and includes the payment or repayment of any amounts (oF any acceleration thereof) to lenders or creditors of any party from time to time but excludes death or personal inury resulting from the negligence of the Pary liable, its officers, employees oragenss “Debr"" means the oustanding debt due to the Lenders of BIAL under the Financing Agreement “Encumbrance™ means any encumbrance such as an easement, sight of way, license, morgage, charge, lien, hypothecation, preemptive right or security interest whether or not registered and hhownoever arsing, including by statute or common laws “Environment” means all or any ofthe following media, namely the aie including the ait within buildings and within any other manmade or natural structure above of below ground), water (ecuding water under or within land or in pipes ot sewerage systems), soil and land and any cco- ‘stem and living organism suppored by those media, and in the case of humans inchades their Proper: “Bnvironmencal Law” means all laws, iachuding without limitation spranationa, national, federal, provincial and local stautes, regulations, rules, orders, notices, directives, darances, approvals, permits, including any conditions atached to the foregoing, and, in so far a they have the force of Page 3 cd aE OE on Napa AEN] NEB ! cap ce tow ho dt hemo gm ce ono cep ton mpm ae Emtomen indy vw tine nn Hana imposed or incurred under: { Fe (@ Bovironmental Laws or ‘< pa Lapmgrtarmlersheboin- deny ninmaeacnes emmy ior ALY ‘Materials, heath and safety, noise, vibeation, nuisance, rdiation and town and country planningss | = Hl “Expansion” means the expansion of the facilities at the Aisport from time to dime as per the Master Plan; “Financial Close” means the date upon which the Financing Agreements (insofar a8 they relate to the development and construction ofthe Initial Phate) have been executed and delivered by al the parties thereto and conditions precedent thercunder shall ave been fulfilled to such extent as may bbe necessary o permit BIAL to have immediate access, subject only t giving the notices of deaw down requited thereby, to funding required by BIAL; “Financing Agreements” means any of (i) BIAL's agreements with Lenders for making availble ro BIAL of Debs and j) the security documents, direct agreements and other ancillary undertakings in favour of Lenders requced pursuant to the agreements refered t i () above.",5
[.]/- (Rupees [.] only) to be held as security for the payment of Lease amount and the due compliance by the Lessee of all of its obligations in this Agreement.,5
"However, the Lessee agrees to vacate the property in the same condition he received it in, carrying out repair work to cover up any alterations, permissible under this clause, made by him during the period of the lease.",4
"Landlord shall be responsible for the following utilities and services in connection with the premises -- Water and sewer -- Garbage and trash disposal Tenant shall be responsible for the following utilities and services in connection with the Premises: -- Electricity -- Gas -- Heating -- Telephone -- All other utilities and services not listed under the Landlords responsibility Tenant acknowledges that Landlord has fully explained to the Tenant the utility rates, charges and services for which Tenant will be required to pay (if any), other than those to be paid directly to the utility company furnishing the service.",4
"Uni the determination of the commercial terms, BIAL shall pay the Lease Rent for the SSA Excluded Area in acordance with the policies/ guidelines of GoK prevailing a that point of time with respect to that particular activity, and such payment of Lease Rent shall be arate not less than that mandated by the poliy/guideline of GoK prevailing at that point of time with respect to that parculaeaetvity.",4
"If Lessor is unable to deliver possession within 5 days after the agreed commencement date, the Lessee may terminate this Agreement by giving written notice to Lessor.",4
"to mk investment for providing ba infrantrctr sits only Fight catering services Fright consaidstors/lorwarers oc agents Caner eraion vse anling Gener aiaon terminals Gener ret shops ~ BIAL.to make investment for providing bai infastucrr facts ony Ground handing services Ground handing equipment Ground powe forse Hangars Heavy maintenance services BIAL.to undertake thete only if sch services ae in setion sicpor and/or aire Hoel eseraion sevies ~BIAL 1 ake fvetment fr proving bsicinfasrucue fates ony Infasractre forthe siport complex ie road, dss, ter sop ete Line maintenance services ~ BAL to undertake these ody if ach vervices ae in raion 1 isport and/or ainerat Locke ental ~ IAL to mak investment for providing bi infastact facts only Mestenge eves ~ BIA to make investment fr providing bse infisratue facies only beer erce Preconditioned ar for sircrat over even Post Offices BIA.",4
"Until the ‘determination of the commercial terms, BIAL shall pay the Leate Rent forthe CA Excluded Area in accordance with the policies guidelines of GoK peevling at that point of time with espect to that particular activity and such payment of Leate Rent shall be ata rate not less ‘han chat mandated by the policy/guidline of Gok prevailing at that point of time with respect to that particular activi.",4
"If the Lessee decides to continue, he will pay the monthly rental or decided otherwise and fulfil all other obligations in the agreement.",4
The failure of Lessee to take possession of the premises on the said date shall not relieve them of their obligation to pay Lease amount on the agreed date.,4
"LATE CHARGES AND FAILED CHEQUES If Lease amount is paid after the fifth day of the month, then the Lease amount will be paid along with late charges of [.] per each month.",4
"The provisions of this Agreement shall be governed by the Laws in force in the Union of India, and any dispute arising from this Agreement shall be subject to the laws of [.].",4
The failure of Lessee or their guests or invitees to comply with any term of this Agreement is grounds for termination of the agreement with appropriate notice to Lessee and procedures as required by law.,4
"MISCELLANEOUS Notwithstanding any other provision of this agreement, the Lessor shall have the right to terminate this agreement at any point of time during the period of the lease.",4
"The Lessee agrees to indemnify and hold harmless the Lessor for all its business activities including but not limited to statutory dues, municipal taxes and other charges.",4
"Limitation of Liability ‘In no event shall any Paty is officers, employees or agents be lable to the other Party (on the basis of breach of contact, indemaiy, waranty oF tor, inchiding negligence and strict ot absolute lability, or breach of statutory duty or otherwise) for any mater arising out of or in connection with this Lease Deed in respect of any Consequential Loss suftered by the other Panty.",4
"In the event of termination, a written notice must be served by the Lessee or the Lessor to the other at least thirty days prior to the end of the agreement.",4
"If the lessor fails to pay the taxes, charges, assessments payable by him, or fails to carry out the necessary repairs and other work which he has to carry out as provided herein, the Lessee may after [one month] notice in writing, pay, discharge and carry out the same at its own cost and the Lessee may set off the same from the rent payable to the Lessor under these presents.",4
"Lt BL Right Holders defined inthe State Support Agreement) KSIDC shall flly indemnify, defend and hold harmless BIAL and its Affiliates, and their respective directors, employees and agents from and against any Libiity, which may be incurred or suffered by any such person and which may aise out of or a a result from any ofthe following causes: @) any breach by KSIIDC of any of its obligations, covenants, agreements, representations or warranties set forth inthis Lease Deed and (©) any loss of property, damage to property, personal injury or death occasioned 10 oF suffered by any person, to the extent that the damage toot loss of property othe personal injury or death is caused wilfilly or negligently by KSIIDC or its Representatives BIAL shall lly indemnify, defend and hold harmless KSIIDC and its Affliates, and che respective diectors, employees and agents fom and against any Liability, which may be incurred or suffered by KSHDC and which may arise out of or a8 a result from any of the following causes: (@) any breach by BIAL of any ofits obligations, covenants, agreements, representations ‘or warratit set forth inthis Lease Deed (©) any Enviconmental Liability which has arisen due to an act or omission of BIAL, Whether diecly or indzeetly, and not otherwie indemnified wider Clawse 11.3) and (© any los of propery, damage 0 property, personal injury o death occasioned to oF suffered by any person, tothe exten that the damage t0 of loss of property ofthe ppessonal injury or death is caused wilfully or negligently by BIAL or its Representatives.",4
