file_name,paragraph_index,agreement_type,clause_type,clause_text
emp_001.txt,1,service,service_levels,Service Level Agreement
emp_001.txt,4,employment,obligations,"State Bank of India, a statutory body constituted under the State Bank of India 
Act, 1955 having its Corporate Centre at State Bank Bhavan, Madame Cama 
Road, Nariman Point, Mumbai-21, through its Marketing & Communication 
Department hereinafter referred to as “the Bank/SBI/Client” which expression 
shall, unless it be repugnant to the context or meaning thereof, be deemed to mean 
and include its successors in title and assigns of the First Part:"
emp_001.txt,4,rental,maintenance,"State Bank of India, a statutory body constituted under the State Bank of India 
Act, 1955 having its Corporate Centre at State Bank Bhavan, Madame Cama 
Road, Nariman Point, Mumbai-21, through its Marketing & Communication 
Department hereinafter referred to as “the Bank/SBI/Client” which expression 
shall, unless it be repugnant to the context or meaning thereof, be deemed to mean 
and include its successors in title and assigns of the First Part:"
emp_001.txt,6,employment,obligations,"_______________________________, private/public limited company/LLP/Firm <strike 
off whichever is not applicable> the  provisions of the  Companies Act, 2013/ Limited 
Liability Partnership Act 2008/ Indian Partnership Act 1932 <strike off whichever is not 
applicable>, having its registered office at __________________________________ 
hereinafter referred to as “Service Provider/ Consultant/Vendor” which expression 
shall unless repugnant to the context or meaning thereof shall include its successor, 
executor & permitted assigns of the Second Part."
emp_001.txt,6,service,indemnity,"_______________________________, private/public limited company/LLP/Firm <strike 
off whichever is not applicable> the  provisions of the  Companies Act, 2013/ Limited 
Liability Partnership Act 2008/ Indian Partnership Act 1932 <strike off whichever is not 
applicable>, having its registered office at __________________________________ 
hereinafter referred to as “Service Provider/ Consultant/Vendor” which expression 
shall unless repugnant to the context or meaning thereof shall include its successor, 
executor & permitted assigns of the Second Part."
emp_001.txt,7,employment,obligations,"The Bank and Service Provider are sometimes individually referred to as a “Party” and 
collectively as “Parties” throughout this Agreement, and the words Party and Parties 
shall be construed accordingly."
emp_001.txt,9,service,scope_of_work,"(i) “The Bank” is carrying on business in banking in India and overseas and is 
desirous to avail creative  services for online and offline platform"
emp_001.txt,10,employment,obligations,"(ii) 
Service Provider, is in the business of creative designing  services and  has 
agreed to supply the services as per the scope of work defined in the 
Annexure A of this agreement  and as defined  in the  RFP no: 
CC/M&C/2020-21/06 dated 17.02.2021 issued by the Bank along with its 
clarifications/ corrigenda, referred hereinafter as a “RFP” and same shall be 
part of this Agreement and the Bank has agreed to engage ‘Service Provider’ 
for such Services, on a mutually non-exclusive basis."
emp_001.txt,10,service,scope_of_work,"(ii) 
Service Provider, is in the business of creative designing  services and  has 
agreed to supply the services as per the scope of work defined in the 
Annexure A of this agreement  and as defined  in the  RFP no: 
CC/M&C/2020-21/06 dated 17.02.2021 issued by the Bank along with its 
clarifications/ corrigenda, referred hereinafter as a “RFP” and same shall be 
part of this Agreement and the Bank has agreed to engage ‘Service Provider’ 
for such Services, on a mutually non-exclusive basis."
emp_001.txt,17,employment,obligations,"Unless otherwise specifically defined, those terms, acronyms and 
phrases in this Agreement that are utilized in the information technology services 
industry or other pertinent business context shall be interpreted in accordance with 
their generally understood meaning in such industry or business context, unless 
the context otherwise requires/mentions, the following definitions shall apply:"
emp_001.txt,17,service,scope_of_work,"Unless otherwise specifically defined, those terms, acronyms and 
phrases in this Agreement that are utilized in the information technology services 
industry or other pertinent business context shall be interpreted in accordance with 
their generally understood meaning in such industry or business context, unless 
the context otherwise requires/mentions, the following definitions shall apply:"
emp_001.txt,18,employment,obligations,"(a) ‘The Bank/SBI/Client’ shall mean the State Bank of India (including its 
domestic branches and foreign offices), and subsidiaries."
