clause_id,file_name,paragraph_index,agreement_type,clause_type,matched_keywords,match_count,match_score,confidence,char_len,token_count,clause_text
4e0ec7e7-ff50-49fa-a481-00f470ced34e,emp_001.txt,4,employment,obligations,shall,1,0.125,low,448,71,"State Bank of India, a statutory body constituted under the State Bank of India Act, 1955 having its Corporate Centre at State Bank Bhavan, Madame Cama Road, Nariman Point, Mumbai-21, through its Marketing & Communication Department hereinafter referred to as “the Bank/SBI/Client” which expression shall, unless it be repugnant to the context or meaning thereof, be deemed to mean and include its successors in title and assigns of the First Part:"
957c6113-252e-47cd-b60e-f74f7cfd96df,emp_001.txt,4,rental,maintenance,,0,0.0,low,448,71,"State Bank of India, a statutory body constituted under the State Bank of India Act, 1955 having its Corporate Centre at State Bank Bhavan, Madame Cama Road, Nariman Point, Mumbai-21, through its Marketing & Communication Department hereinafter referred to as “the Bank/SBI/Client” which expression shall, unless it be repugnant to the context or meaning thereof, be deemed to mean and include its successors in title and assigns of the First Part:"
e346227d-018e-443a-af35-c771869eb437,emp_001.txt,6,employment,obligations,shall,1,0.125,low,550,68,"_______________________________, private/public limited company/LLP/Firm <strike off whichever is not applicable> the provisions of the Companies Act, 2013/ Limited Liability Partnership Act 2008/ Indian Partnership Act 1932 <strike off whichever is not applicable>, having its registered office at __________________________________ hereinafter referred to as “Service Provider/ Consultant/Vendor” which expression shall unless repugnant to the context or meaning thereof shall include its successor, executor & permitted assigns of the Second Part."
4c687cf8-0072-404b-a64f-9fb97cc27ec7,emp_001.txt,6,service,indemnity,liability,1,0.2,low,550,68,"_______________________________, private/public limited company/LLP/Firm <strike off whichever is not applicable> the provisions of the Companies Act, 2013/ Limited Liability Partnership Act 2008/ Indian Partnership Act 1932 <strike off whichever is not applicable>, having its registered office at __________________________________ hereinafter referred to as “Service Provider/ Consultant/Vendor” which expression shall unless repugnant to the context or meaning thereof shall include its successor, executor & permitted assigns of the Second Part."
d8af8643-6326-43cb-a4b6-1e23d2d17811,emp_001.txt,7,employment,obligations,shall,1,0.125,low,202,30,"The Bank and Service Provider are sometimes individually referred to as a “Party” and collectively as “Parties” throughout this Agreement, and the words Party and Parties shall be construed accordingly."
221159f5-e6d3-49e5-b70c-826b1370d403,emp_001.txt,9,service,scope_of_work,services,1,0.16666666666666666,low,142,24,“The Bank” is carrying on business in banking in India and overseas and is desirous to avail creative services for online and offline platform
a16c4519-958d-4f18-b708-af832b20930a,emp_001.txt,10,employment,obligations,shall,1,0.125,low,486,81,"(ii) Service Provider, is in the business of creative designing services and has agreed to supply the services as per the scope of work defined in the Annexure A of this agreement and as defined in the RFP no: CC/M&C/2020-21/06 dated 17.02.2021 issued by the Bank along with its clarifications/ corrigenda, referred hereinafter as a “RFP” and same shall be part of this Agreement and the Bank has agreed to engage ‘Service Provider’ for such Services, on a mutually non-exclusive basis."
8c74ec6d-fdbc-49e9-956c-66b7335bf0c6,emp_001.txt,10,service,scope_of_work,scope of work;services,2,0.3333333333333333,medium,486,81,"(ii) Service Provider, is in the business of creative designing services and has agreed to supply the services as per the scope of work defined in the Annexure A of this agreement and as defined in the RFP no: CC/M&C/2020-21/06 dated 17.02.2021 issued by the Bank along with its clarifications/ corrigenda, referred hereinafter as a “RFP” and same shall be part of this Agreement and the Bank has agreed to engage ‘Service Provider’ for such Services, on a mutually non-exclusive basis."
c35eca6d-e58c-45cb-9086-a4984254a0fb,emp_001.txt,17,employment,obligations,shall,1,0.125,low,392,52,"Unless otherwise specifically defined, those terms, acronyms and phrases in this Agreement that are utilized in the information technology services industry or other pertinent business context shall be interpreted in accordance with their generally understood meaning in such industry or business context, unless the context otherwise requires/mentions, the following definitions shall apply:"
27943830-5f86-4c97-a998-b97585055361,emp_001.txt,17,service,scope_of_work,services,1,0.16666666666666666,low,392,52,"Unless otherwise specifically defined, those terms, acronyms and phrases in this Agreement that are utilized in the information technology services industry or other pertinent business context shall be interpreted in accordance with their generally understood meaning in such industry or business context, unless the context otherwise requires/mentions, the following definitions shall apply:"
38d7e909-33fd-4b21-9014-2c9c217664ef,emp_001.txt,18,employment,obligations,shall,1,0.125,low,129,18,"‘The Bank/SBI/Client’ shall mean the State Bank of India (including its domestic branches and foreign offices), and subsidiaries."
aeeb4759-2624-4b3b-a1db-c7c683e09155,emp_001.txt,19,rental,maintenance,maintenance,1,0.125,low,507,79,"3 (b) “Documentation” will describe in detail and in a completely self-contained manner how the User may access and use the software/service including, but not limited, to the tracker/dashboard to be employed by the agency and any other technology based platform used for all tasks assigned to the Agency such that any reader of the Documentation can access, use and maintain all of the functionalities, maintenance and upgradation of the software tool/service without the need for any further instructions."
