clause_text,count
"Description SECTION – I DEFINITIONS & INTERPRETATIONS 1.1 Definition of Terms 1.2 Interpretations & Priority of Contract Documents 1.3 Special Conditions of Contract SECTION – II GENERAL INSTRUCTIONS & OBLIGATIONS 2.1 Formation of Contract 2.2 Signing of Agreement 2.3 Addenda/Corrigenda 2.4 Liability of Government of India 2.5 Site Visit 2.6 Action in case of Corrupt/Fraudulent /Collusive /Coercive Practices and Evaluation of Performance 2.7 Retired Government or Employer‟s Officers 2.8 Conflict of Interest 2.9 Abnormal Rates 2.10 General obligations of Service Provider 2.11 Service Provider‟s Representative & Personnel 2.12 Service Provider‟s Employees / Personnel 2.13 Contract Performance Security 2.14 Failure by the Service Provider to comply with the provisions of the Contract 2.15 Service Provider remains liable to pay compensation if action not taken under clause 2.13 2.16 Change in constitution 2.17 Termination of Contract 2.18 Amount Payable in case of Termination 2.19 Members of the Employer Not Individually Liable 2.20 Employer not Bound by Personal Representations 2.21 Force Majeure 2.22 Price Reduction Schedule 2.23 Assignment/Sublet 2.24 Liens 2.25 Delays by Employer or his Authorised Representative 2.26 No waiver of rights 2.27 Certificate not to affect right of employer and liability of Service Provider 2.28 Language and Measures 2.29 Release of Information 2.30 Completion Period, Contract Period and Completion of Contract 2.31 Independent Capacity 2.32 Notice 2.33 Confidentiality 2.34 Intellectual Property Right SECTION – III PERFORMANCE OF SERVICE 3.1 Execution of services 3.2 Changes In Services 3.3 Action and compensation in case of poor service 3.4 Suspension of services 3.5 Defects Liability Period 3.6 Completion Certificate 3.7 Final Decision & Final Certificate 3.8 Limitation of Liability",12
"Consultant shall release, defend, indemnify, and hold harmless Cornell and its trustees, officers, agents, and employees from all liability, suits, actions, or claims of any character, name, or description including reasonable attorneys’ fees, brought on account of any injuries or damage, or loss (real or alleged) received or sustained by any person, persons, or property, arising out of the Services or any other work provided under this Agreement, and/or Consultant’s failure to perform or comply with any requirements of this Agreement, including, but not limited to, any claims for personal injury, property damage, breach of warranty, or infringement of copyright, patent, or other proprietary right.",8
"RESTRICTIONS Customer shall not, and shall not permit anyone to: (i) copy or republish the SaaS Services or Software, (ii) make the SaaS Services available to any person other than authorized End User, (iii) use or access the SaaS Services to provide service bureau, time-sharing or other computer hosting services to third parties, (iv) modify or create derivative works based upon the SaaS Services or Documentation or copy, modify, transmit, distribute, frame or mirror any of the Software in any form or media or by any means, (v) remove, modify or obscure any copyright, trademark or other proprietary notices contained in the Software used to provide the SaaS Services or in the Documentation, (vi) reverse engineer, decompile, disassemble, or otherwise attempt to derive the source code of the Software used to provide the SaaS Services, except and only to the extent such activity is expressly permitted by applicable law, (vii) license, sell, resell, transfer, rent, lease, distribute, exploit or otherwise make the SaaS Services or Software available to anyone other than the End Users or (viii) access the SaaS Services or use the Documentation in order to build a similar product or competitive product.",8
"Such purchase order shall be subject to this CSA, and any different terms in such purchase order (whether payment terms, taxes, warranty, scope of Support, limitation of liability, termination, or otherwise) will not apply as the purpose of the purchase order is solely for identifying pricing, product/service selected, and quantity for ordering hereunder.",8
"Service Provider’s work or presence on the Facilities or other work site, including but not limited to any negligent acts, errors or omissions, intentional misconduct or fraud of Service Provider or Service Provider Personnel, whether active or passive, actual or alleged, whether in the provision of the Services, failure to provide any or all of the Services or otherwise; (b) any actual or alleged breach of this Agreement, including but not limited to Confidentiality and Service Provider’s representations and warranties by Service Provider or Service Provider Personnel; (c) any claims by Service Provider employees or employees of Service Provider subcontractors, including but not limited to: (i) allegations of wrongful discharge, discharge in violation of public policy, harassment or discrimination on the basis of race, color, sex, religion, national origin, age, disability, sexual orientation, retaliation, unfair dismissal or other unlawful conduct; (ii) those made under workers’ compensation or similar employee benefit acts; or (iii) claims alleging that Service Provider has failed to pay any employment benefits and any taxes required of it of any nature whatsoever; (d) failure to comply with any Applicable Laws by Service Provider or Service Provider Personnel; or",7
"8 Upon termination or expiration of this Agreement, all rights and obligations of the Parties hereunder shall cease, except such rights and obligations as may have accrued on the date of termination or expiration; the obligation of indemnity; obligation of payment; confidentiality obligation; Governing Law clause; Dispute resolution clause ; and any right which a Party may have under the Applicable Law.",7
"6 Client shall indemnify and hold harmless Agency from and against any and all costs, expenses, charges, damages, liabilities, claims or actions of any kind which may be incurred, suffered, brought or threatened against Agency arising out of (and only to the extent of) a breach by Client of its representations and warranties under this Agreement or and/or for breach of applicable laws or due to non-payment of amounts payable to any third parties for the Services which were pre-approved by the Client.",7
"The arbitral tribunal shall be empowered to order the return or destruction of goods or any property, whether tangible or intangible, or of any confidential information provided under the Contract, order the termination of the Contract, or order that any other protective measures be taken with respect to the goods, services or any other property, whether tangible or intangible, or of any confidential information provided under the Contract, as appropriate, all in accordance with the authority of the arbitral tribunal pursuant to Article 26 (“Interim measures”) and Article 34 (“Form and effect of the award”) of the UNCITRAL Arbitration Rules.",7
Right of Railway to Determine the Contract 63 7.2 Payment on Determination of Contract 63 7.3 NoClaim on Compensation 63 7.4 Determination of Contract Owing to Defauit of 63 Contractor 7.5 Right of Railway After Rescission of Contract Owing 65 to Default of Contractor Vill SETTLEMTN OF DISPUTES- INDINAN RAILWAY ARBITRATION RULES 8.1 Matters Finally Determined by the Railways er 82 Demand for Arbitration 67 83 Obligation During Pendency of Arbitration 68 84 Appointment of Arbitrator 68 ANNEXURES Bid Evaluation-Technical Criteria (sample) a Il Bid Form (First Sheet) ™ I Bid Form (Second Sheet)-Instructions to Bidders 75 ll Bid Form (Third Sheet)- Schedule of Rates and 80 Quantities Ill Contract Agreement of Services at IV Employment Card (Form XIV) 82 V Service Certificate (Form XV) 83,6
"INDEMNIFICATION 11.1 Indemnification by Whatfix: If a third party makes a claim against Customer that the SaaS Services infringes any patent, copyright or trademark, or misappropriates any trade secret, or that Whatfix’s negligence or willful misconduct has caused bodily injury or death, Whatfix shall defend Customer and its directors, officers and employees against the claim at Whatfix’s expense and Whatfix shall pay all losses, damages and expenses (including reasonable attorneys’ fees) finally awarded against such parties or agreed to in a written settlement agreement signed by Whatfix, to the extent arising from the claim.",6
